userName,score,at,content
Nanda Mmhmarsel,5,2024-10-07 05:41:26,baik
Zhen Zen,2,2024-10-07 04:41:33,Kurang lengkap masalah info loker
Rachmad Rudianto,5,2024-10-07 02:10:43,memuaskan
Bang zait,5,2024-10-07 01:39:12,sangat mudah untuk mengirim email/ cv
Alan Walansari,5,2024-10-06 16:46:16,"Semoga cepet² dapet pekerjaan,, aminnnn"
Intan Permata Legum,5,2024-10-06 08:29:24,mantap
heri setiawan,1,2024-10-06 07:57:45,jujurly saya ga ngerti cara pakainya. Dari tampilan interface yg membingungkan dan fitur search and filter yg sama sekali ga membantu. Dan btw kalo temen temen detail disini banyak sekali PT penipuannya. xixi
Zhurufy Rahmany,5,2024-10-06 07:26:00,Semoga ada rezeki disini
Iwan Hermawan,5,2024-10-06 04:21:45,Mantap
Lusi Sundari,5,2024-10-06 01:52:39,bagus
Agoes 21,5,2024-10-05 13:36:18,Bagus
ayu puspita rizmi,1,2024-10-05 13:07:44,banyak loker penipu
Wiwy Triwiyanti,4,2024-10-05 12:41:12,belum jelas karena belum dapat panggilan krja
RATEG BAJIGUR,4,2024-10-05 05:25:39,Lumayan bagus...jika data diri dan skill kita meyakinkan Perusahaan yang kita lamar pasti akan di respon oleh HRD
Arham Redminot10S,5,2024-10-05 05:07:06,ok
Nur Puri,5,2024-10-05 02:39:33,sangat membantu
Luki Novaldi,5,2024-10-04 12:22:49,semoga semakin mudah & banyak lowongannya yah Glints👍
untuk bias15,1,2024-10-04 07:48:03,Aplikasi nya bagus kak
Junari Aprilian,5,2024-10-04 05:42:29,dapat mobil gajian
AKHMAD FARUQ,1,2024-10-04 04:50:36,Ngga spt 2023 sekarang mulai tdk responsif. Pemuat iklan lowongan cuma membandingkan kapasitas pelamar bukan merecrut pelamar sesungguhnya. Balik spt Jobstreet. Tolong diperbaiki kreteria pemuat kerja. Cuma membandingkan kapasitas atau mencari pelamar yg sesungguhnya
Kg Jaya,5,2024-10-04 02:17:38,bagus
Das Bastard,1,2024-10-04 02:16:34,"Aplikasi aneh, ada notif masuk tapi gak bisa masuk aplikasi dengan alasan kami tidak dapat melayani."
Slamat suharyono Yono,4,2024-10-04 02:11:50,mohon selalanapde informasi terbaru mengenai lowongan kerja
